Date,Ask,Bid,Last,Volume (BTC),Volume (% of Total)
2015-07-22,255.0,253.0,255.0,83.36,1.42
2015-07-21,255.0,252.6,255.0,73.91,1.29
2015-07-20,257.0,254.0,257.0,72.2,1.4
2015-07-19,255.0,252.0,255.0,10.82,0.45
2015-07-18,257.0,253.0,257.0,30.61,0.68
2015-07-17,257.49,255.0,257.49,62.68,1.01
2015-07-16,260.0,258.0,260.0,172.77,1.91
2015-07-15,266.9,261.5,261.5,120.4,1.84
2015-07-14,259.0,257.0,264.5,62.02,0.93
2015-07-13,266.0,257.66,266.66,269.88,2.03
2015-07-12,279.9,273.6,279.9,186.03,2.02
2015-07-11,263.0,260.0,263.0,45.51,0.6
2015-07-10,260.0,254.0,260.0,247.68,1.46
2015-07-09,248.6,247.0,248.6,90.75,1.38
2015-07-08,246.99,243.2,246.99,118.37,1.89
2015-07-07,247.0,246.0,247.0,103.76,1.67
2015-07-06,251.0,247.51,251.0,93.61,0.84
2015-07-05,251.99,245.5,246.5,115.51,1.37
2015-07-04,234.0,230.0,234.0,45.19,1.61
2015-07-03,231.85,230.0,231.85,129.17,2.25
2015-07-02,234.0,231.3,232.0,68.32,1.14
2015-07-01,239.9,235.0,235.0,173.26,2.58
2015-06-30,240.0,236.0,237.0,293.48,2.65
2015-06-29,231.0,228.0,231.0,110.24,1.57
2015-06-28,224.8,223.0,224.8,43.07,1.01
2015-06-27,223.0,222.5,222.5,96.69,2.09
2015-06-26,216.9,211.5,211.5,81.66,2.72
2015-06-25,216.8,216.12,216.12,53.04,1.18
2015-06-24,216.5,214.01,216.5,69.71,1.63
2015-06-23,220.0,218.3,218.3,89.21,1.8
2015-06-22,217.5,213.01,212.21,54.57,0.9
2015-06-21,214.0,213.0,213.9,69.66,2.98
2015-06-20,217.4,216.99,215.99,42.52,1.24
2015-06-19,217.77,215.4,215.4,144.28,2.49
2015-06-18,219.38,217.0,219.4,56.71,0.9
2015-06-17,219.65,216.0,216.0,137.04,1.58
2015-06-16,217.25,215.5,217.25,184.01,1.94
2015-06-15,209.9,206.1,208.0,101.24,2.0
2015-06-14,206.95,203.1,206.95,29.46,1.3
2015-06-13,206.2,204.7,206.2,15.38,0.88
2015-06-12,205.7,203.0,205.9,85.32,2.56
2015-06-11,205.9,202.01,205.9,67.91,1.16
2015-06-10,203.99,203.0,203.0,88.57,2.19
2015-06-09,205.0,202.1,201.0,84.53,1.68
2015-06-08,204.85,204.6,204.85,89.82,1.56
2015-06-07,200.0,199.9,199.9,28.08,1.89
2015-06-06,203.0,200.03,203.0,22.77,1.32
2015-06-05,203.0,201.0,201.0,116.31,2.29
2015-06-04,206.65,204.0,206.65,105.48,2.25
2015-06-03,208.3,203.1,208.4,97.61,1.92
2015-06-02,206.95,205.0,206.95,96.9,1.86
2015-06-01,208.9,205.1,208.9,126.31,2.13
2015-05-31,212.66,210.8,212.66,29.96,1.29
2015-05-30,215.0,212.2,215.5,16.8,0.74
2015-05-29,216.9,213.5,216.9,50.29,1.17
2015-05-28,217.9,214.0,217.9,97.0,2.43
2015-05-27,217.0,213.2,217.0,88.14,2.39
2015-05-26,219.09,215.0,215.0,61.43,1.54
2015-05-25,214.8,212.0,212.0,26.12,1.06
2015-05-24,216.9,213.0,216.9,35.67,1.9
2015-05-23,215.4,214.0,215.0,20.79,1.04
2015-05-22,217.0,212.01,212.01,85.08,2.0
2015-05-21,215.0,211.05,212.33,52.89,1.41
2015-05-20,213.0,210.0,213.0,45.86,1.22
2015-05-19,212.0,206.2,206.2,104.91,2.65
2015-05-18,211.9,205.02,211.9,66.16,1.45
2015-05-17,209.0,205.01,205.01,20.53,0.95
2015-05-16,208.49,206.01,206.01,38.36,1.76
2015-05-15,210.5,209.0,210.5,81.53,1.97
2015-05-14,210.5,209.0,210.5,81.53,1.97
2015-05-13,217.4,214.4,214.4,50.48,1.35
2015-05-12,216.99,214.51,216.9,61.24,1.85
2015-05-11,219.35,216.04,219.35,118.81,2.79
2015-05-10,215.0,213.0,215.0,27.87,1.74
2015-05-09,214.8,213.0,213.0,22.32,1.2
